label,label_noisy
19,76
29,70
0,0
11,83
1,62
86,86
90,90
28,84
23,23
31,40
39,39
96,96
82,82
17,17
71,18
39,39
8,8
97,97
80,80
71,66
74,74
59,59
70,70
87,87
59,59
84,19
64,64
52,52
42,98
64,64
8,28
17,17
47,47
65,64
21,21
22,22
81,81
11,11
24,24
84,84
78,78
45,45
49,49
97,97
56,56
76,76
11,11
90,90
89,89
78,1
73,73
14,80
87,87
9,99
71,71
6,6
47,47
20,20
98,98
47,18
36,36
55,55
72,72
43,43
51,51
35,35
83,83
33,28
27,28
53,53
92,92
50,18
15,15
89,89
36,80
18,61
89,92
46,46
33,19
42,48
39,7
64,97
75,87
38,70
23,23
42,17
66,16
77,87
49,49
18,18
46,46
15,15
35,35
69,69
95,1
83,83
75,75
99,99
73,73
93,58
55,55
39,39
4,4
97,97
61,61
93,93
51,51
69,69
56,95
84,84
59,4
64,64
94,13
4,11
11,78
33,33
68,88
38,31
20,20
33,33
34,34
32,32
46,94
53,41
88,88
67,29
70,70
64,34
53,53
64,64
8,8
96,93
87,87
30,30
20,1
30,88
66,66
19,33
76,76
87,87
52,52
62,85
35,19
63,63
40,37
4,91
99,99
63,60
74,74
53,53
26,97
95,95
48,48
27,27
33,15
29,29
39,84
79,79
32,32
46,76
64,69
28,98
85,85
32,32
82,82
78,78
39,37
54,54
28,28
66,94
65,65
72,21
21,21
64,64
62,76
72,72
0,0
44,44
7,27
12,85
19,19
11,39
31,31
61,74
79,79
45,45
81,59
79,86
98,98
43,43
46,46
67,67
80,80
68,68
74,74
48,48
81,81
94,94
86,63
69,69
39,39
73,73
2,2
46,46
49,23
63,94
43,69
14,14
49,49
68,68
65,65
41,81
37,37
45,45
36,36
21,42
77,77
37,37
39,39
8,8
9,9
62,62
86,86
39,39
19,53
54,99
39,39
28,28
11,11
89,54
90,56
90,90
79,79
66,55
81,81
21,10
79,79
40,40
29,52
22,22
13,13
25,25
11,83
38,55
10,74
96,96
54,54
65,11
39,86
40,71
42,31
48,48
48,98
51,51
11,93
23,28
23,36
89,89
52,52
46,46
2,18
95,41
43,31
86,86
34,27
66,66
18,18
46,46
66,66
56,51
57,22
1,1
44,44
11,11
82,82
23,23
90,71
56,22
19,19
68,68
66,66
28,28
1,1
57,57
67,67
5,5
13,13
78,78
6,6
84,94
7,95
41,12
65,82
80,80
12,99
50,50
63,63
26,80
8,4
53,46
60,60
99,74
97,32
85,66
0,0
78,78
31,12
10,10
2,66
7,7
43,43
83,83
97,97
91,91
82,50
28,28
42,42
0,56
82,82
5,30
68,87
60,60
30,30
98,30
82,82
20,20
64,11
66,66
10,52
75,28
54,54
57,32
87,87
66,13
66,66
73,73
54,54
88,88
42,93
37,37
80,80
87,72
3,21
29,21
43,20
12,31
73,73
96,31
23,22
96,96
84,99
19,19
62,62
0,0
21,2
11,11
36,51
64,64
76,14
60,22
3,3
80,80
82,82
79,79
26,26
65,65
72,93
11,11
15,15
31,44
48,48
12,12
91,80
71,36
87,41
77,91
15,15
7,35
58,49
51,51
55,62
85,85
2,35
3,3
89,89
10,10
3,3
11,17
20,20
4,4
48,48
27,27
48,49
7,17
67,74
3,22
65,65
56,56
9,9
44,44
95,95
46,84
83,83
40,40
58,7
87,97
59,59
18,2
48,48
5,41
88,49
26,48
21,21
24,24
53,53
68,68
49,49
89,89
96,96
92,92
7,7
13,13
