label,label_noisy
19,19
29,29
0,0
11,11
1,28
86,86
90,69
28,28
23,55
31,65
39,39
96,96
82,21
17,17
71,71
39,67
8,8
97,97
80,67
71,80
74,74
59,59
70,70
87,25
59,95
84,71
64,64
52,52
42,65
64,64
8,8
17,17
47,47
65,65
21,21
22,22
81,17
11,11
24,3
84,45
78,78
45,45
49,36
97,73
56,56
76,33
11,11
90,83
89,26
78,78
73,73
14,29
87,87
9,18
71,84
6,6
47,6
20,91
98,43
47,47
36,36
55,55
72,72
43,18
51,51
35,69
83,83
33,33
27,27
53,84
92,92
50,28
15,15
89,89
36,13
18,18
89,89
46,46
33,33
42,95
39,71
64,64
75,84
38,44
23,39
42,41
66,66
77,77
49,8
18,2
46,46
15,15
35,69
69,69
95,44
83,82
75,75
99,28
73,73
93,93
55,55
39,39
4,21
97,97
61,61
93,96
51,51
69,69
56,56
84,84
59,59
64,32
94,43
4,19
11,11
33,33
68,71
38,38
20,20
33,20
34,54
32,87
46,46
53,53
88,23
67,67
70,70
64,64
53,28
64,17
8,8
96,96
87,87
30,30
20,23
30,30
66,66
19,71
76,76
87,87
52,52
62,62
35,35
63,63
40,72
4,4
99,25
63,65
74,74
53,53
26,26
95,32
48,48
27,27
33,81
29,98
39,39
79,79
32,56
46,28
64,64
28,28
85,50
32,32
82,82
78,71
39,50
54,86
28,28
66,59
65,55
72,72
21,35
64,48
62,62
72,72
0,28
44,44
7,1
12,37
19,55
11,38
31,31
61,61
79,87
45,26
81,22
79,79
98,98
43,43
46,46
67,64
80,80
68,68
74,46
48,31
81,81
94,94
86,86
69,69
39,93
73,89
2,2
46,46
49,49
63,62
43,87
14,14
49,26
68,68
65,65
41,41
37,46
45,45
36,11
21,95
77,77
37,37
39,9
8,10
9,15
62,73
86,86
39,99
19,14
54,26
39,39
28,28
11,17
89,89
90,90
90,90
79,79
66,66
81,81
21,21
79,79
40,60
29,29
22,22
13,13
25,40
11,29
38,38
10,10
96,96
54,54
65,55
39,39
40,40
42,88
48,50
48,41
51,51
11,29
23,23
23,23
89,89
52,75
46,65
2,72
95,95
43,43
86,86
34,34
66,57
18,18
46,83
66,26
56,56
57,85
1,37
44,44
11,11
82,82
23,85
90,90
56,56
19,30
68,11
66,66
28,56
1,12
57,44
67,54
5,28
13,16
78,78
6,6
84,84
7,14
41,41
65,6
80,80
12,2
50,17
63,43
26,26
8,8
53,53
60,60
99,99
97,97
85,17
0,0
78,78
31,31
10,68
2,2
7,7
43,43
83,83
97,97
91,1
82,82
28,28
42,41
0,44
82,84
5,55
68,34
60,60
30,92
98,98
82,5
20,11
64,28
66,66
10,49
75,75
54,54
57,57
87,0
66,66
66,55
73,43
54,54
88,88
42,27
37,10
80,80
87,44
3,3
29,29
43,14
12,85
73,73
96,96
23,85
96,96
84,84
19,30
62,65
0,0
21,21
11,11
36,87
64,32
76,76
60,60
3,72
80,80
82,82
79,79
26,26
65,65
72,72
11,11
15,15
31,22
48,33
12,12
91,14
71,52
87,26
77,10
15,15
7,7
58,58
51,51
55,55
85,85
2,2
3,3
89,10
10,10
3,3
11,11
20,69
4,22
48,19
27,42
48,48
7,7
67,67
3,3
65,65
56,56
9,10
44,69
95,44
46,46
83,35
40,12
58,58
87,87
59,59
18,18
48,48
5,5
88,28
26,26
21,35
24,24
53,24
68,68
49,99
89,89
96,29
92,92
7,58
13,13
99,83
49,60
22,22
56,38
67,11
13,13
97,97
6,6
19,19
76,76
65,65
9,78
71,40
63,76
71,52
18,18
55,55
34,34
18,18
0,2
56,17
23,23
75,75
70,42
78,78
45,45
66,66
91,91
25,25
58,23
90,90
29,30
68,68
35,58
54,88
77,77
97,88
0,0
70,4
75,11
60,60
65,65
5,82
58,58
82,71
49,49
61,7
28,64
44,44
56,52
82,82
61,11
43,43
20,10
38,40
85,85
87,87
49,49
85,20
24,70
7,7
88,88
40,19
38,38
72,72
56,56
4,3
81,81
98,88
97,56
14,92
46,46
23,23
89,76
86,86
83,83
54,62
27,67
41,41
96,96
1,1
81,38
79,79
30,43
17,17
14,14
67,67
20,84
54,26
92,47
33,15
57,57
65,65
49,45
71,98
59,83
85,85
22,97
31,31
85,85
17,17
42,23
62,72
26,26
60,60
27,27
57,57
19,19
97,97
88,88
10,10
31,7
23,23
84,32
74,16
63,67
94,14
77,77
90,90
60,60
5,5
1,1
61,61
95,32
32,32
95,41
57,57
32,32
23,23
39,39
45,98
41,30
69,69
89,89
45,0
47,85
57,79
11,11
48,80
74,74
2,2
11,11
95,95
50,50
37,49
59,53
71,71
84,84
89,52
84,84
70,70
16,67
71,71
8,8
48,48
31,47
98,80
32,32
2,2
74,74
62,62
71,71
90,90
34,34
51,51
0,9
12,12
26,26
57,79
62,46
57,94
31,31
65,65
32,32
16,16
35,59
98,69
11,11
87,68
38,73
52,6
89,89
40,40
76,76
7,1
54,54
76,76
30,88
59,53
84,75
3,63
91,91
46,25
65,65
43,43
49,70
6,6
33,33
5,5
14,21
77,77
44,83
68,79
82,82
94,37
66,68
73,73
56,56
89,89
53,47
22,24
69,69
77,77
84,32
20,20
98,98
4,18
69,69
79,79
40,15
45,45
1,1
56,37
65,48
51,91
5,5
80,9
54,54
92,92
4,16
23,53
60,38
81,81
77,77
73,73
98,98
0,0
14,14
9,9
44,20
27,53
8,8
43,43
74,99
46,46
94,18
86,51
30,30
61,31
57,57
11,14
81,48
25,67
81,81
70,8
29,48
27,27
3,3
71,71
53,51
48,48
19,30
80,80
57,57
19,83
59,53
25,62
56,52
74,74
32,59
98,80
37,37
13,79
45,45
12,42
80,80
64,42
16,16
17,60
24,19
30,30
25,25
96,96
37,33
5,40
98,98
31,70
94,0
5,14
29,29
66,66
51,65
6,6
67,28
50,50
68,68
27,27
62,40
89,89
5,5
11,61
13,13
66,66
55,55
15,98
62,62
74,74
31,8
93,76
59,62
1,11
97,97
32,47
39,39
41,41
62,62
71,71
70,70
98,9
41,41
42,42
70,95
3,3
35,7
90,90
22,31
50,61
61,61
66,66
92,92
53,53
12,12
84,84
33,33
57,88
93,33
79,79
69,69
53,64
9,7
19,85
6,6
20,20
76,94
5,5
98,98
92,95
78,13
93,93
79,82
21,85
51,51
74,69
76,76
56,56
75,75
27,27
22,22
37,46
16,16
72,72
81,71
36,36
48,48
13,48
56,52
70,9
0,57
63,63
90,90
53,53
29,29
64,64
2,18
83,83
63,63
89,89
14,14
66,66
95,95
65,40
85,85
5,5
7,11
58,2
61,33
42,19
59,59
37,37
12,12
42,42
66,83
71,71
40,40
63,63
45,95
19,19
33,70
55,55
26,26
0,0
60,60
72,72
4,4
63,63
76,25
46,20
64,26
96,96
69,68
64,64
75,75
33,33
36,36
26,26
62,91
18,18
48,48
50,50
36,36
26,26
28,79
71,71
76,76
45,61
52,52
65,65
59,59
41,41
69,47
15,10
87,87
50,95
11,11
71,71
36,14
84,93
73,60
46,18
83,81
12,12
79,87
54,30
50,99
75,75
72,35
37,53
91,95
19,18
82,27
22,22
41,41
53,24
14,74
15,15
84,14
11,95
35,35
83,83
36,36
17,27
74,74
26,33
46,46
97,19
85,34
98,81
10,10
63,67
72,72
93,93
45,35
95,42
68,68
