label,label_noisy
19,9
29,25
0,0
11,99
1,62
86,86
90,90
28,82
23,23
31,64
39,39
96,93
82,49
17,46
71,79
39,37
8,8
97,66
80,80
71,32
74,9
59,59
70,0
87,87
59,59
84,86
64,20
52,52
42,12
64,64
8,97
17,58
47,1
65,15
21,21
22,68
81,48
11,11
24,24
84,86
78,78
45,54
49,49
97,97
56,91
76,39
11,11
90,95
89,6
78,67
73,20
14,14
87,13
9,9
71,63
6,97
47,73
20,36
98,19
47,42
36,48
55,55
72,72
43,31
51,51
35,35
83,88
33,33
27,58
53,53
92,92
50,89
15,87
89,89
36,88
18,18
89,96
46,61
33,78
42,42
39,58
64,64
75,41
38,77
23,30
42,42
66,66
77,77
49,49
18,75
46,89
15,15
35,35
69,57
95,15
83,83
75,41
99,97
73,73
93,65
55,55
39,28
4,57
97,6
61,82
93,21
51,94
69,52
56,13
84,81
59,59
64,64
94,22
4,37
11,74
33,25
68,32
38,49
20,20
33,24
34,43
32,36
46,77
53,46
88,88
67,67
70,70
64,64
53,53
64,64
8,8
96,21
87,27
30,30
20,12
30,30
66,84
19,91
76,11
87,78
52,52
62,35
35,86
63,63
40,40
4,4
99,55
63,63
74,74
53,53
26,68
95,95
48,11
27,80
33,97
29,29
39,32
79,57
32,7
46,10
64,64
28,92
85,85
32,36
82,82
78,78
39,39
54,54
28,28
66,84
65,65
72,72
21,21
64,64
62,62
72,80
0,0
44,32
7,7
12,41
19,91
11,52
31,10
61,24
79,10
45,16
81,13
79,91
98,8
43,88
46,76
67,76
80,80
68,68
74,22
48,99
81,1
94,91
86,81
69,69
39,32
73,83
2,2
46,64
49,31
63,79
43,80
14,45
49,49
68,81
65,65
41,41
37,81
45,96
36,48
21,21
77,77
37,37
39,39
8,8
9,71
62,77
86,86
39,39
19,19
54,68
39,26
28,28
11,85
89,36
90,90
90,90
79,79
66,84
81,81
21,21
79,95
40,40
29,61
22,72
13,13
25,25
11,29
38,81
10,73
96,96
54,62
65,93
39,33
40,27
42,42
48,48
48,5
51,51
11,39
23,23
23,42
89,87
52,47
46,64
2,54
95,24
43,43
86,86
34,94
66,66
18,14
46,46
66,66
56,56
57,80
1,1
44,44
11,11
82,82
23,19
90,90
56,9
19,9
68,33
66,93
28,49
1,81
57,57
67,4
5,5
13,13
78,88
6,6
84,67
7,13
41,41
65,65
80,80
12,59
50,29
63,57
26,26
8,8
53,50
60,8
99,99
97,97
85,40
0,96
78,78
31,10
10,31
2,2
7,7
43,43
83,15
97,97
91,24
82,82
28,28
42,67
0,0
82,86
5,85
68,41
60,34
30,30
98,91
82,40
20,55
64,32
66,72
10,91
75,30
54,15
57,49
87,94
66,61
66,25
73,11
54,54
88,32
42,26
37,79
80,80
87,94
3,19
29,64
43,16
12,12
73,73
96,47
23,14
96,96
84,84
19,9
62,62
0,28
21,21
11,23
36,16
64,64
76,11
60,60
3,72
80,88
82,82
79,37
26,4
65,65
72,72
11,44
15,82
31,20
48,5
12,55
91,63
71,71
87,87
77,99
15,15
7,89
58,58
51,23
55,55
85,85
2,2
3,3
89,89
10,22
3,44
11,86
20,20
4,4
48,88
27,27
48,64
7,7
67,67
3,57
65,65
56,56
9,14
44,46
95,95
46,4
83,83
40,87
58,23
87,94
59,63
18,14
48,42
5,5
88,88
26,49
21,21
24,68
53,25
68,68
49,31
89,7
96,96
92,17
7,70
13,13
99,94
49,22
22,22
56,90
67,48
13,4
97,33
6,64
19,19
76,12
65,1
9,30
71,71
63,96
71,32
18,18
55,2
34,34
18,6
0,0
56,49
23,55
75,75
70,70
78,78
45,47
66,66
91,91
25,16
58,48
90,29
29,47
68,75
35,35
54,37
77,83
97,97
0,0
70,97
75,75
60,14
65,65
5,5
58,78
82,19
49,22
61,21
28,74
44,44
56,64
82,82
61,61
43,43
20,20
38,66
85,85
87,51
49,31
85,43
24,37
7,7
88,88
40,90
38,52
72,49
56,23
4,4
81,49
98,2
97,97
14,14
46,81
23,55
89,89
86,86
83,63
54,92
27,58
41,96
96,26
1,8
81,21
79,15
30,28
17,81
14,39
67,29
20,20
54,54
92,48
33,33
57,15
65,28
49,7
71,92
59,31
85,85
22,22
31,31
85,31
17,17
42,42
62,28
26,26
60,8
27,6
57,71
19,43
97,39
88,98
10,58
31,31
23,74
84,23
74,74
63,63
94,94
77,36
90,90
60,77
5,95
1,1
61,61
95,95
32,16
95,95
57,57
32,72
23,85
39,39
45,45
41,76
69,4
89,89
45,45
47,12
57,12
11,11
48,66
74,74
2,2
11,9
95,4
50,25
37,66
59,59
71,32
84,86
89,21
84,30
70,74
16,65
71,81
8,8
48,48
31,49
98,88
32,53
2,36
74,74
62,35
71,4
90,90
34,75
51,40
0,96
12,12
26,26
57,67
62,62
57,84
31,36
65,65
32,46
16,30
35,29
98,67
11,11
87,68
38,77
52,52
89,6
40,40
76,50
7,60
54,52
76,76
30,30
59,22
84,84
3,3
91,52
46,46
65,65
43,9
49,49
6,6
33,37
5,15
14,14
77,77
44,93
68,68
82,82
94,94
66,66
73,8
56,27
89,21
53,82
22,67
69,69
77,77
84,84
20,99
98,21
4,31
69,69
79,79
40,60
45,45
1,87
56,43
65,65
51,15
5,50
80,42
54,92
92,28
4,56
23,23
60,44
81,70
77,47
73,73
98,98
0,91
14,56
9,9
44,36
27,37
8,20
43,43
74,85
46,46
94,81
86,91
30,25
61,61
57,57
11,11
81,4
25,89
81,81
70,70
29,22
27,71
3,3
71,32
53,9
48,91
19,19
80,88
57,57
19,19
59,6
25,1
56,23
74,9
32,72
98,36
37,37
13,13
45,18
12,1
80,21
64,65
16,16
17,20
24,13
30,30
25,29
96,96
37,91
5,5
98,1
31,31
94,94
5,47
29,22
66,66
51,51
6,71
67,56
50,46
68,68
27,96
62,62
89,4
5,5
11,11
13,72
66,66
55,3
15,15
62,62
74,74
31,31
93,93
59,97
1,1
97,97
32,36
39,5
41,30
62,26
71,85
70,26
98,80
41,50
42,45
70,17
3,3
35,35
90,68
22,11
50,91
61,61
66,4
92,69
53,26
12,12
84,65
33,37
57,53
93,93
79,96
69,4
53,88
9,78
19,30
6,6
20,57
76,0
5,5
98,80
92,32
78,78
93,93
79,79
21,70
51,69
74,74
76,79
56,23
75,75
27,27
22,81
37,54
16,16
72,72
81,93
36,8
48,48
13,13
56,23
70,70
0,36
63,63
90,18
53,22
29,29
64,52
2,2
83,83
63,86
89,89
14,65
66,66
95,15
65,27
85,99
5,82
7,7
58,58
61,61
42,42
59,9
37,68
12,12
42,44
66,31
71,71
40,40
63,3
45,45
19,19
33,33
55,27
26,3
0,0
60,60
72,72
4,64
63,63
76,76
46,89
64,64
96,96
69,69
64,64
75,91
33,25
36,15
26,10
62,97
18,18
48,31
50,96
36,52
26,73
28,28
71,85
76,76
45,4
52,81
65,41
59,59
41,50
69,59
15,99
87,87
50,50
11,11
71,4
36,36
84,84
73,46
46,94
83,27
12,12
79,79
54,54
50,89
75,41
72,46
37,42
91,91
19,19
82,49
22,58
41,41
53,32
14,14
15,15
84,61
11,12
35,53
83,87
36,27
17,37
74,81
26,97
46,29
97,97
85,85
98,43
10,31
63,84
72,72
93,75
45,38
95,43
68,68
14,39
62,51
73,31
62,24
11,28
23,74
24,24
97,97
32,2
78,57
29,64
54,54
20,20
41,41
88,88
34,37
87,87
62,74
29,29
0,11
4,0
31,21
50,35
33,49
5,26
8,8
48,48
71,10
71,8
94,15
5,87
15,15
16,30
98,98
29,22
42,42
68,33
40,18
95,31
85,13
64,95
40,40
24,81
3,3
11,9
79,42
10,45
3,29
73,11
22,77
28,11
70,70
94,57
42,12
14,14
4,6
18,14
86,86
4,4
32,82
38,82
24,24
65,65
75,75
1,74
7,64
99,99
58,61
8,8
67,90
10,10
44,46
98,98
88,98
31,21
83,50
63,32
59,59
34,34
81,81
54,54
28,16
76,76
84,44
44,44
88,66
59,59
65,16
8,35
91,87
51,51
42,42
23,55
20,21
26,26
77,70
77,31
4,57
84,27
4,35
8,8
60,66
41,41
96,66
54,10
30,64
51,51
35,33
11,19
18,18
47,47
89,89
63,63
6,66
32,2
26,26
30,30
42,60
67,67
7,7
12,84
1,67
37,54
30,28
53,39
98,98
76,71
8,12
36,36
67,67
91,91
67,67
33,84
82,82
93,15
84,20
52,23
84,36
90,45
7,32
33,37
78,78
66,66
9,52
12,74
27,58
44,44
18,18
63,45
75,89
95,54
50,9
59,59
63,63
45,38
28,49
19,19
50,91
7,58
27,6
92,4
53,53
64,39
53,53
41,26
44,44
39,47
